"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",10425.14,321.661,37.877,0.629,6.866,1.84,2.259,1.241,26318.132,89.868,148.476,18.319,3.694,122.638,50.34,73.186,2.927,1.049,2.2,1.799,0.888,0.698,3.815,2.917,0.134,1.787,31.901,5.492,5.969,142.221,670.932,17.422,0.852,0.487,11.405,1.677,2974.552,5.933,2.148,2.787,9.997,33.06,34.06,124.359,270.885,90.78,305.633,54.25,73.879,0,19644.125,0.009,0.556,72.843,68.483,231.866,46.893,22084.652,-11127.499,73532.988
"TTL_A02",918.852,4095.749,3.562,5.588,8.711,3.422,2.132,0.151,1746.392,8.621,6192.102,386.697,0.154,24.891,4.702,115.652,6.646,1.084,2.326,0.831,0.088,0.161,1.085,0.538,0.122,0.421,195.084,25.282,0.794,164.556,145.423,2.303,0.127,0.138,1.725,0.294,217.687,1.893,1.211,1.686,1.775,14.728,4.223,14.722,104.221,16.424,29.667,18.064,15.55,0,1363.377,0.004,0.097,67.887,5.45,2.888,5.161,2119.935,-215.581,17857.475
"TTL_A03",15.032,1.382,67.702,0.034,0.374,0.168,0.081,0.034,1117.518,0.141,0.135,0.113,0.076,0.516,0.198,0.17,0.099,0.056,0.114,0.098,0.025,0.029,0.089,0.049,0.073,0.104,0.18,0.058,0.107,6.519,17.415,0.517,0.325,0.034,0.778,0.046,247.672,0.288,0.157,0.28,0.82,3.413,0.626,0.512,21.146,2.294,8.455,0.905,1.525,0,1174.526,0,0.002,63.555,5.333,12.955,0.444,1500.28,-390.926,3884.655
"TTL_B05",13.36,1.426,0.038,90.491,55.292,45.304,15.853,17.55,33.224,1.973,3.712,31.981,169.602,71.298,0.799,8.145,154.113,483.739,200.744,1.436,0.236,0.931,2.28,1.402,0.223,3.439,1.4,662.837,1.36,116.5,11.411,6.606,0.025,0.101,2.133,0.175,4.379,0.239,0.468,0.337,0.776,11.666,1.569,1.355,43.762,13.118,4.596,0.417,8.619,0,1.02,0,0.004,1.816,0.118,0.502,0,5118.66,-1308.9,6115.665
"TTL_B06",240.359,48.316,27.042,108.526,5946.137,304.925,199.417,233.923,447.032,12.572,87.336,345.808,31832.032,2268.924,18.485,136.725,710.942,590.163,963.121,137.297,8.435,15.824,44.992,56.081,2.804,47.673,100.472,4122.668,71.034,795.558,980.155,1155.534,50.642,271.165,246.379,52.032,100.28,30.342,31.544,47.968,206.859,282.045,194.408,192.875,928.027,133.36,139.325,32.919,80.358,0,5912.997,0.607,2.058,192.502,22.689,7.488,26.241,102255.87,-20865.799,142635.493
"TTL_B07",36.432,3.674,2.212,37.673,1161.746,1796.103,188.27,238.956,111.769,5.171,12.515,24.917,120.231,235.665,14.691,26.107,419.043,3569.837,12634.434,186.057,18.979,21.929,47.576,38.941,1.383,25.787,58.402,53.432,17.057,1015.424,409.184,49.673,1.789,7.408,60.74,10.155,78.432,53.008,66.226,105.217,468.608,293.042,374.942,201.402,349.723,78.841,110.374,45.533,69.62,0,183.738,5.281,22.914,745.314,0.111,1.134,16.852,10893.637,-3398.814,33428.498
"TTL_B08",232.677,6.801,2.38,12.276,137.139,101.721,364.047,49.33,110.877,12.876,27.904,89.312,64.559,596.206,30.412,211.594,1733.158,212.521,219.719,28.513,6.568,9.311,14.809,16.531,0.983,7.468,60.515,27.659,20.203,4285.606,36.509,9.13,0.308,0.474,6.641,0.492,16.443,7.102,1.075,3.174,5.384,105.36,19.966,63.772,98.101,11.345,43.199,4.086,24.651,0,510.283,0.021,0.123,83.837,5.729,1.39,6.901,4973.496,-819.54,13913.12
"TTL_B09",15.954,1.09,13.497,141.392,11130.673,517.183,497.544,1853.484,18.807,0.467,3.668,32.555,308.598,7.021,1.402,11.093,129.271,34.018,73.52,4.202,1.175,1.027,3.962,2.477,0.139,2.424,3.375,76.605,3.182,540.601,32.559,23.673,0.726,2.351,13.743,4.83,8.908,7.901,5.787,13.533,38.162,41.788,37.328,19.261,49.4,9.517,11.539,3.867,6.315,0,23.693,0.309,1.975,3045.341,0.65,0.91,0.116,415.072,-728.684,18520.979
"TTL_C10T12",7446.71,23.556,157.655,1.915,32.699,8.313,7.46,4.302,17933.804,29.22,19.766,86.63,16.547,378.35,111.988,48.178,15.495,6.384,17.834,13.504,4.648,4.599,14.813,9.123,0.677,11.353,49.227,5.32,15.676,142.617,1308.017,45.429,7.161,6.486,42.443,9.121,12837.623,75.229,27.862,48.155,127.893,176.017,95.017,133.953,925.262,461.731,926.408,217.466,184.349,0,83475.344,0.187,1.9,231.816,174.391,744.432,326.666,30511.258,-29385.273,130354.707
"TTL_C13T15",68.982,11.307,15.222,3.118,43.465,17.922,5.4,5.218,81.03,1287.784,36.778,175.918,8.368,94.638,16.111,162.706,48.165,10.287,13.745,28.192,9.652,8.014,29.114,131.624,3.04,36.128,527.266,3.944,11.787,331.849,381.972,23.99,0.711,3.365,18.721,10.573,160.53,18.001,9.028,10.921,29.437,60.737,84.173,156.513,494.995,78.874,275.179,75.447,183.959,0,16701.041,0.025,1.003,257.63,134.698,261.197,29.348,2461.209,-18343.262,6806.789
"TTL_C16",279.839,568.592,6.704,14.348,70.541,44.186,18.871,10.969,385.197,17.964,10026.334,847.554,20.933,165.422,14.622,126.855,216.557,20.31,60.481,126.029,16.596,31.159,71.497,144.651,20.959,62.697,3394.09,28.571,18.072,13312.674,675.381,129.766,3.904,20.202,128.736,5.793,182.305,42.497,15.006,17.951,45.125,790.991,224.66,189.702,198.281,89.226,141.792,56.128,248.42,0,980.929,0.064,2.158,152.051,61.521,28.692,4.633,14611.234,-2775.83,46414.594
"TTL_C17_18",119.313,8.173,5.176,2.449,65.233,22.214,7.042,6.445,1357.795,47.185,142.492,6054.057,14.317,195.224,116.647,179.375,156.759,16.796,45.873,79.411,34.99,34.134,80.938,61.767,2.037,46.622,265.451,13.158,26.26,423.077,1355.876,83.559,2.831,6.534,81.143,73.65,231.735,1472.004,125.417,295.689,991.028,224.718,693.791,678.973,1794.394,728.083,539.241,152.55,331.944,0,5577.151,0.191,2.967,219.465,114.957,97.248,87.483,14542.2,-7229.515,32905.716
